arise_control_id,ARISE Domain,ISO 9001:2015 Clauses Mapped,ISO 9001 Themes,rationale
I.RM-02,IDENTIFY,Cl. 6.1: Actions to address risks and opportunities; Cl. 6.2: Quality objectives and planning; Cl. 8.7: Control of nonconforming outputs,Clause 6 - Planning; Clause 8 - Operation,Cl. 6.1: 1 req(s) match (I.RM-02-req-02) on: risk register. ; Cl. 6.2: 1 req(s) match (I.RM-02-req-07) on: slo. ; Cl. 8.7: 1 req(s) match (I.RM-02-req-05) on: incident response.
I.SC-01,IDENTIFY,"Cl. 7.3: Awareness; Cl. 8.4: Control of externally provided processes, products and services",Clause 7 - Support; Clause 8 - Operation,"Cl. 7.3: 1 req(s) match (I.SC-01-req-01) on: onboarding. ; Cl. 8.4: 2 req(s) match (I.SC-01-req-02, I.SC-01-req-03) on: mbom, sbom, sub-processor."
I.TH-01,IDENTIFY,"Cl. 6.2: Quality objectives and planning; Cl. 8.1: Operational planning and control; Cl. 9.1: Monitoring, measurement, analysis and evaluation",Clause 6 - Planning; Clause 8 - Operation; Clause 9 - Performance Evaluation,"Cl. 6.2: 1 req(s) match (I.TH-01-req-03) on: mttd, mttr, operational target. ; Cl. 8.1: 1 req(s) match (I.TH-01-req-05) on: playbook. ; Cl. 9.1: 1 req(s) match (I.TH-01-req-03) on: mttd, mttr."
I.TH-02,IDENTIFY,Cl. 8.5: Production and service provision,Clause 8 - Operation,Cl. 8.5: 1 req(s) match (I.TH-02-req-01) on: production model.
I.TM-01,IDENTIFY,"Cl. 6.1: Actions to address risks and opportunities; Cl. 6.2: Quality objectives and planning; Cl. 9.1: Monitoring, measurement, analysis and evaluation",Clause 6 - Planning; Clause 9 - Performance Evaluation,"Cl. 6.1: 1 req(s) match (I.TM-01-req-04) on: risk register. ; Cl. 6.2: 1 req(s) match (I.TM-01-req-07) on: mttd, mttr. ; Cl. 9.1: 1 req(s) match (I.TM-01-req-07) on: mttd, mttr."
P.AC.M-01,PROTECT,Cl. 7.5: Documented information,Clause 7 - Support,Cl. 7.5: 1 req(s) match (P.AC.M-01-req-01) on: model card.
P.AC.M-02,PROTECT,Cl. 6.2: Quality objectives and planning; Cl. 7.1: Resources; Cl. 8.5: Production and service provision,Clause 6 - Planning; Clause 7 - Support; Clause 8 - Operation,Cl. 6.2: 1 req(s) match (P.AC.M-02-req-01) on: slo. ; Cl. 7.1: 1 req(s) match (P.AC.M-02-req-04) on: infrastructure. ; Cl. 8.5: 1 req(s) match (P.AC.M-02-req-04) on: production model.
P.AC.M-03,PROTECT,Cl. 8.5: Production and service provision,Clause 8 - Operation,Cl. 8.5: 1 req(s) match (P.AC.M-03-req-04) on: production model.
P.AC.S-01,PROTECT,Cl. 8.3: Design and development,Clause 8 - Operation,Cl. 8.3: 1 req(s) match (P.AC.S-01-req-06) on: model development.
P.AC.S-02,PROTECT,"Cl. 5.3: Organizational roles, responsibilities and authorities",Clause 5 - Leadership,Cl. 5.3: 1 req(s) match (P.AC.S-02-req-08) on: dpo.
P.AT-01,PROTECT,Cl. 7.2: Competence; Cl. 8.3: Design and development,Clause 7 - Support; Clause 8 - Operation,Cl. 7.2: control name references ai training. ; Cl. 8.3: 1 req(s) match (P.AT-01-req-02) on: sdlc.
P.AT-02,PROTECT,Cl. 7.2: Competence; Cl. 7.3: Awareness,Clause 7 - Support,"Cl. 7.2: control name references security training, cybersecurity training. ; Cl. 7.3: 1 req(s) match (P.AT-02-req-01) on: annual training."
